Airshed,City,study_year,head,url,tail
1,agartala,2019,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_2019_agartala.pdf,.pdf
2,ahmedabad,2019,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_2019_ahmedabad.pdf,.pdf
3,allahabad,2019,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_2019_allahabad.pdf,.pdf
4,asansol,2019,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_2019_asansol.pdf,.pdf
5,aurangabad,2019,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_2019_aurangabad.pdf,.pdf
6,dharwad,2019,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_2019_dharwad.pdf,.pdf
7,dhanbad,2019,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_2019_dhanbad.pdf,.pdf
8,gaya,2019,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_2019_gaya.pdf,.pdf
9,guwahati,2019,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_2019_guwahati.pdf,.pdf
10,gwalior,2019,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_2019_gwalior.pdf,.pdf
11,hyderabad,2019,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_2019_hyderabad.pdf,.pdf
12,jamshedpur,2019,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_2019_jamshedpur.pdf,.pdf
13,jodhpur,2019,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_2019_jodhpur.pdf,.pdf
14,kolkata,2019,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_2019_kolkata.pdf,.pdf
15,kota,2019,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_2019_kota.pdf,.pdf
16,lucknow,2019,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_2019_lucknow.pdf,.pdf
17,madurai,2019,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_2019_madurai.pdf,.pdf
18,mumbai,2019,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_2019_mumbai.pdf,.pdf
19,nashik,2019,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_2019_nashik.pdf,.pdf
20,panjim,2019,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_2019_panjim.pdf,.pdf
21,puducherry,2019,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_2019_puducherry.pdf,.pdf
22,rajkot,2019,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_2019_rajkot.pdf,.pdf
23,shimla,2019,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_2019_shimla.pdf,.pdf
24,srinagar,2019,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_2019_srinagar.pdf,.pdf
25,surat,2019,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_2019_surat.pdf,.pdf
26,thiruvananthapuram,2019,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_2019_thiruvananthapuram.pdf,.pdf
27,tiruchirapalli,2019,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_2019_tiruchirapalli.pdf,.pdf
28,vadodara,2019,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_2019_vadodara.pdf,.pdf
29,vijayawada,2019,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_2019_vijayawada.pdf,.pdf
30,visakhapatnam,2019,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_2019_visakhapatnam.pdf,.pdf
31,agra,2017,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_2017_agra.pdf,.pdf
32,amritsar,2017,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_2017_amritsar.pdf,.pdf
33,bengaluru,2017,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_2017_bengaluru.pdf,.pdf
34,bhopal,2017,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_2017_bhopal.pdf,.pdf
35,bhubaneswar,2017,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_2017_bhubaneswar.pdf,.pdf
36,chandigarh,2017,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_2017_chandigarh.pdf,.pdf
37,chennai,2017,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_2017_chennai.pdf,.pdf
38,coimbatore,2017,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_2017_coimbatore.pdf,.pdf
39,dehradun,2017,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_2017_dehradun.pdf,.pdf
40,indore,2017,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_2017_indore.pdf,.pdf
41,jaipur,2017,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_2017_jaipur.pdf,.pdf
42,kanpur,2017,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_2017_kanpur.pdf,.pdf
43,kochi,2017,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_2017_kochi.pdf,.pdf
44,ludhiana,2017,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_2017_ludhiana.pdf,.pdf
45,nagpur,2017,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_2017_nagpur.pdf,.pdf
46,patna,2017,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_2017_patna.pdf,.pdf
47,pune,2017,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_2017_pune.pdf,.pdf
48,raipur,2017,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_2017_raipur.pdf,.pdf
49,ranchi,2017,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_,https://urbanemissions.info/wp-content/uploads/apna/docs/india_apna_2017_ranchi.pdf,.pdf
